,index,Name,Latitude,Longitude,City,Address,Phone_number,n_bus,n_bike,n_skiing
151,151,BAITA MONTE PAT,46.221088,11.344754,Sover,"Loc. Vernera,1",,Montesover,Mach,Alpe Cermis-Cavalese
152,152,AL CAMINETTO,46.1743,11.2235,Cembra,"Via C. Battisti, 7/9",+39 0461 683007,Cembra,Mach,Paganella/Andalo
153,153,MASO FRANCH GOURMET E RELAIS,46.143058,11.118222,Giovo,"Maso Franch, 2",+39 0461 245533,Maso Franch,Grazioli,Paganella/Andalo
154,154,Rifugio Crucolo,46.120964,11.498823,Scurelle,Loc. Val Campelle,+39 (0461) 766093,Samone, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
155,155,Cantinota,46.0113818453386,11.3013803958893,Levico Terme,"Via Trieste, 1",+39 (0461) 701699,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
156,156,Malga Sorgazza,46.1335752604075,11.5986442565918,Pieve Tesino,Loc. Sorgazza,+39 (346) 2304405,Pradellano, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
157,157,Boeriu Nineta - Hotel Madrano,46.0856292796992,11.215238571167,Pergine Valsugana,"Piazza Prada,11 - Madrano",+39 (0461) 552569,Madrano-Alb.Madrano, Cimitero Villazzano,Paganella/Andalo
158,158,Al Volt,46.0604643945862,11.2408590316772,Pergine Valsugana,"Piazza Municipio, 10",+39 (0461) 532737,Pergine V., Cimitero Villazzano,Lavarone
159,159,Fiore di Cardo,46.0559303696104,11.473503112793,Borgo Valsugana,"Corso Vicenza, 63",+39 (0461) 757462,Borgo Vals. Valli, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
160,160,Alte Stube,46.0059048374363,11.6572880744934,Grigno,"Fraz. Palù, 16",+39 (0461) 779605,Palù di Grigno, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
161,161,Monte Cimone,45.9958,11.2703,Caldonazzo,"Vial Trento, 21",+39 (0461) 723100,Caldonazzo-Via Roma, Mattarello,Lavarone
162,162,Alpina,46.0398312017746,11.4649200439453,Borgo Valsugana,Via Volpi - fraz. Olle,,Olle-Via Del Boaletto, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
163,163,Biba's,46.0021488614333,11.2545919418335,Calceranica Al Lago,"Via Lungolago, 50",+39 (0461) 1740099,Calceranica C.So Alpini Gmp, Mattarello,Lavarone
164,164,Ca' Rossa,46.0278021660037,11.2453544139862,Pergine Valsugana,"Via della Valsugana, 26 - Ischia",+39 (0461) 530840,Ischia di Pergine, Cimitero Villazzano,Lavarone
165,165,Happy Days,46.0159046253001,11.2340569496155,Pergine Valsugana,"Fraz. Valcanover, 276",+39 (0461) 548000,Valcanover-Pizz.Happy Days, Cimitero Villazzano,Lavarone
166,166,Alpina,46.064469512512,11.6322791576385,Castello Tesino,"Via Municipio Vecchio, 9",+39 (0461) 594127,Castello Tesino, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
167,167,L'Angolo dei Risotti,46.0103759049526,11.3011765480042,Levico Terme,"Via Battisti, 22",+39 (0461) 700156,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
168,168,Al Cacciatore,46.035228449668,11.6472244262695,Castello Tesino,Loc. Pozze di Celado,+39 (0461) 594681,Grigno-Segheria, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
169,169,Camping Casteltesino,46.0676480888854,11.6337060928345,Castello Tesino,"Loc. Sottomolizza, 1",+39 (338) 4490234,Castello Tesino, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
170,170,Camping Valmalene,46.1140627241198,11.6182136535645,Pieve Tesino,"Loc. Valmalene, snc",+39 (0461) 594627,Pradellano-Al Lago, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
171,171,Al Cavalletto,46.0605090629309,11.2392926216125,Pergine Valsugana,"Via Pennella, 15",+39 (0461) 531024,Pergine V., Cimitero Villazzano,Lavarone
172,172,Camping Lagorai,46.0904956970005,11.5986442565918,Pieve Tesino,"Loc. Quistaon, 1",+39 (0461) 593355,Pradellano-Al Lago, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
173,173,Cacciatore,46.0225055808545,11.3115406036377,Levico Terme,Loc. Prati di Monte,+39 (0461) 701575,Levico T. Polo Scolastico, Cimitero Villazzano,Lavarone
174,174,Al Brenta,46.0059048374363,11.2918639183044,Levico Terme,"Via Claudia Augusta, 17",+39 (0461) 706131,Levico T. Rist. Brenta, Cimitero Villazzano,Lavarone
175,175,Belvedere,46.0859566973921,11.21433198452,Pergine Valsugana,"Via di Castel Rocca, 3-
Madrano",+39 (0461) 552140,Madrano, Cimitero Villazzano,Paganella/Andalo
176,176,Ristorante Albergo San Cristoforo,46.0394513775227,11.2348616123199,Pergine Valsugana,"Viale Europa, 29 - S. Cristoforo",+39 (0461) 531105,S.Cristoforo Al Lago-Fs, Cimitero Villazzano,Lavarone
177,177,Bellavista,46.0661593171176,11.634349822998,Castello Tesino,"Via Roma, 19",+39 (0461) 594169,Castello Tesino, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
178,178,Kapriol,46.0799884606992,11.6398966312408,Castello Tesino,Loc. Fradea,+39 (0461) 594126,Castello T.-Ip, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
179,179,Osteria Storica Morelli,46.0780534822903,11.2779808044434,Pergine Valsugana,"Piazza G.A. Petrini, 1 - Canezza",+39 (0461) 509504,Canezza Bivio, Cimitero Villazzano,Lavarone
180,180,Ristorante Al Falco,46.0824889476738,11.5440130233765,Bieno,"Fraz. Casetta, 12c",+39 (0461) 596263,Bieno-Via Lusumina, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
181,181,Boivin,46.0113594913066,11.3006186485291,Levico Terme,"Via Garibaldi, 9",+39 (0461) 701670,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
182,182,Ke Pi Kebab,46.0099884267378,11.3009190559387,Levico Terme,"Via Xicco Polentone, 2",+39 (389) 8385501,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
183,183,Osteria del Borgo Wine Bar,46.0516565799634,11.4565193653107,Borgo Valsugana,"Via Spagolla, 5/b",+39 (0461) 751304,Borgo V. Sp.40, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
184,184,Bar Al Tastavin,46.0669483711555,11.6521596908569,Castello Tesino,Loc. Rodena,+39 (0461) 593168,Castello Tesino, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
185,185,Pizzeria al taglio Macapla,46.0608738530605,11.2416315078735,Pergine Valsugana,"Via Tre Novembre, 3 ",+39 (0461) 533184,Pergine V., Cimitero Villazzano,Lavarone
186,186,Dolomiti,46.0556027737462,11.4638471603394,Borgo Valsugana,"Via Temanza, 11",+39 (0461) 757193,Borgo V. Ospedale, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
187,187,Chalet Panarotta,46.0488419525058,11.3200807571411,Pergine Valsugana,Loc. Panarotta,+39 (0461) 706507,Maso Tingherla, Cimitero Villazzano,Lavarone
188,188,Albergo Ristorante Pizzeria Sedran,46.0396077760603,11.2347435951233,Pergine Valsugana,"Via alla Stazione, 4 - S. Cristoforo",+39 (0461) 531539,S.Cristoforo Al Lago-Fs, Cimitero Villazzano,Lavarone
189,189,Chalet Heidi,46.115847694466,11.6611289978027,Castello Tesino,Loc. Marande,+39 (0461) 1866060,Ronco Chiesa, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
190,190,Miravalle,46.0084384867338,11.314480304718,Levico Terme,"Viale Venezia, 78",+39 (0461) 700080,Levico Terme Cimitero, Cimitero Villazzano,Lavarone
191,191,Chalet Rosa,46.005055293752,11.2419748306274,Calceranica Al Lago,"Via Bosentino, 1",+39 (0461) 724082,Calceranica Al Lago, Mattarello,Lavarone
192,192,Al Corso,46.012246194315,11.2996101379395,Levico Terme,"Via Dante, 35",,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
193,193,Millennium,46.0167316504955,11.2944281101227,Levico Terme,"Viale Vittorio Emanuele, 50",+39 (0461) 703012,Levico T. Alb.Miralago, Cimitero Villazzano,Lavarone
194,194,Al Cristallo,46.0619458754105,11.2416529655457,Pergine Valsugana,"Via Chimelli, 4",+39 (0461) 510301,Pergine V. V.Baratieri Teatro, Cimitero Villazzano,Lavarone
195,195,Taverna die Gonzaga,46.0125665961073,11.298086643219,Levico Terme,Via Garibaldi,+39 (0461) 701802,Levico T. Alb.Miralago, Cimitero Villazzano,Lavarone
196,196,Al Moro,46.0613279761805,11.2424468994141,Pergine Valsugana,"Via Tre Novembre, 22",+39 (0461) 532108,Pergine-Via S.Pietro Asl, Cimitero Villazzano,Lavarone
197,197,Taverna,46.0150254317992,11.2861347198486,Levico Terme,"Loc. Lago, 3",+39 (0461) 706243,Levico T. Alb.Miralago, Cimitero Villazzano,Lavarone
198,198,Al Faro,46.0369712844015,11.2433588504791,Pergine Valsugana,"Via della Valsugana, 18 - Ischia",+39 (0461) 534663,S.Cristoforo-Ht.Meridiana, Cimitero Villazzano,Lavarone
199,199,Bar Ristorante Pizzeria Minuetto,46.0630997650958,11.232168674469,Pergine Valsugana,"Viale Dante, 81",+39 (0461) 538087,Pergine V. Intermodale, Cimitero Villazzano,Lavarone
200,200,Al Conte ,46.0114787127063,11.3021421432495,Levico Terme,"Via Regia, 8",+39 (0461) 702302,Levico Terme Autostazione, Cimitero Villazzano,Lavarone
201,201,Bar Ristorante Al Capriolo,46.081298253724,11.2655353546143,Pergine Valsugana,"Masi Alti, 11",,Viarago Via Vinciguerra 33, Cimitero Villazzano,Lavarone
202,202,Giropizza VIP,46.0319660728167,11.2296152114868,Pergine Valsugana,"Fraz. Valcanover, 13",+39 (0461) 512282,"Valcanover ""Ex Lanterna""", Cimitero Villazzano,Lavarone
203,203,Centrale,46.053391450831,11.458021402359,Borgo Valsugana,"Piazza Martiri, 5",,Borgo V. Sp.40, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
204,204,Al Cipriani,46.0162473579629,11.4467239379883,Borgo Valsugana,"Via del Dosso, 121 - Val di Sella",,Olle-Trattoria Alla Croce, Cimitero Villazzano,Lavarone
205,205,El Filò,46.0067990798514,11.3048887252808,Levico Terme,"Viale Stazione, 64",+39 (0461) 706240,Levico Terme-Staz. Fs, Cimitero Villazzano,Lavarone
206,206,Hotel Paoli - Alla Vedova,45.9894,11.2984,Caldonazzo,"Loc. Lochere, 6",+39 (0461) 700017,Loc. Lochere, Mattarello,Lavarone
207,207,Giardino di Giada,46.0597794754413,11.2394213676453,Pergine Valsugana,"Via Roma, 20",+39 (0461) 512146,Pergine V., Cimitero Villazzano,Lavarone
208,208,Ai Larici,46.0514629858429,11.6548204421997,Castello Tesino,Loc. Celado,+39 (0461) 594147,Castello Tesino, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
209,209,Bandus Braci e Pizza,46.0041759277763,11.2884521484375,Levico Terme,Via Claudia Augusta  ,+39 (0461) 709082,Levico T. Rist. Brenta, Cimitero Villazzano,Lavarone
210,210,Tavola Calda Bar Malene,46.1061189049888,11.6182994842529,Pieve Tesino,"Loc. Valmalene, 3",+39 (0461) 594627,Castello T.-Loc. Molini, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
211,211,Conca D'Oro,46.0172159387867,11.6356801986694,Grigno,"Piazza Dante, 1",+39 (0461) 765126,Grigno-Segheria, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
212,212,Valsugana,46.0634124278255,11.2327587604523,Pergine Valsugana,"Viale Dante, 42",+39 (0461) 510649,Pergine V. Intermodale, Cimitero Villazzano,Lavarone
213,213,Gilda,45.9953964062115,11.2666511535645,Caldonazzo,"Via Brenta, 22",+39 (0461) 723446,Caldonazzo-Staz. Fs, Mattarello,Lavarone
214,214,Angi,46.0471292783092,11.2332630157471,Pergine Valsugana,"Via dell'Angi, 59 - Canale",+39 (0461) 538037,Canale Via Delle Stonfe, Cimitero Villazzano,Lavarone
215,215,Trattoria Crosara,46.0649608266733,11.633448600769,Castello Tesino,Piazza San Giorgio,+39 (04619 594245,Castello Tesino, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
216,216,Stube Valzurg,46.238,11.1643,Vignola Falesina,"Fraz. Vignola, 22",+39 (0461) 511103,Roverè Della Luna-Sud,Cavalleggeri,Paganella/Andalo
217,217,Aquila d'Oro,45.9920273235372,11.2627029418945,Caldonazzo,Via Roma,+39 (0461) 723116,Caldonazzo, Mattarello,Lavarone
218,218,Due Spade,45.9916173547901,11.2616407871246,Caldonazzo,"Piazza Municipio, 2",+39 (0461) 723113,Caldonazzo, Mattarello,Lavarone
219,219,Albergo Ristorante Da Ciolda,46.0323682940693,11.2303447723389,Pergine Valsugana,"Fraz. Valcanover, 95",+39 (0461) 548007,"Valcanover ""Ex Lanterna""", Cimitero Villazzano,Lavarone
220,220,Aquilotto,45.9920273235372,11.2627029418945,Caldonazzo,"Viale Stazione, 4/a",+39 (0461) 718127,Caldonazzo, Mattarello,Lavarone
221,221,Tre Faggi,46.0096605584359,11.4353084564209,Borgo Valsugana,Val di Sella,+39 (0461) 761016,Olle-Trattoria Alla Croce, Cimitero Villazzano,Lavarone
222,222,Cima XII,46.0429143843715,11.4608001708984,Borgo Valsugana,"Via Per Olle, 59",+39 (0461) 754555,Olle-Trattoria Alla Croce, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
223,223,Cima D'Asta,46.0689,11.6099,Pieve Tesino,"Via Brigata Abruzzi, 2",+39 (0461) 592112,Pieve Tesino, Cimitero Villazzano,Lagorai/Passo Brocon-Castello Tesino
224,224,Antiche Contrade,46.0550369217671,11.2362670898438,Pergine Valsugana,"Via al Lago, 11",+39 (0461) 538228,Pergine Via Al Lago, Cimitero Villazzano,Lavarone
225,225,RISTORANTE CINESE LA GIADA,46.2836881931,11.4367246627808,Castello-Molina di Fiemme,Via Roma 29,+39 (0462)230192,Castello di Fiemme Via Roma,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
226,226,"BAR PIZZERIA ""I VOLTI""",46.2833655,11.48388,Cavalese,"Via Chiesa, 33/a",+39 (0462)231567,Masi-Piccolo Bar,Mach,Alpe Cermis-Cavalese
227,227,MASO DELLO SPECK,46.3054382284177,11.4361667633057,Ville di Fiemme,Via Pozze di Sopra 2,+39 (0462)342244,Daiano Via Arca I,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
228,228,RISTORANTE PIZZERIA MILLENIUM,46.309262494812,11.6013479232788,Predazzo,Via Fiamme Gialle 2/c,+39 (0462)502449,Predazzo-I.T.C.,Mach,Latemar-Obereggen/Pampeago/Predazzo
229,229,STEAK HOUSE DA POLDO,46.31663,11.59824,Predazzo,Via Mazzini 48,+39 (0462)502472,Predazzo-Distributore Agip,Stazione TN-Malè - RFI,Latemar-Obereggen/Pampeago/Predazzo
230,230,STALA DEL NONO,46.3416246511521,11.5393352508545,Tesero,"Loc. Pampeago, 1",+39 (0462)813244,Stava,Stazione TN-Malè - RFI,Latemar-Obereggen/Pampeago/Predazzo
231,231,PIZZA SHOP,46.2876474315177,11.4440846443176,Ville di Fiemme,"Via Nazionale, 10",+39 (0462)232156,Cavalese-Bivio Carano,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
232,232,PIZZA HOUSE,46.2888336644683,11.5112042427063,Tesero,"Via Roma, 43",+39 (0462)814668,Tesero,Mach,Alpe Cermis-Cavalese
233,233,LA RUOTA,46.2713637883303,11.4178204536438,Castello-Molina di Fiemme,Via Quirino Prada 2,+39 (0462)230220,Molina di Fiemme-Scuole,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
234,234,VECCHIA OSTERIA,46.2925404768632,11.4577746391296,Cavalese,"Via IX Novembre, 14",+39 (0462)230361,Cavalese Via Esterle,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
235,235,RISTORANTE PIZZERIA GAMS,46.3137238012574,11.5995669364929,Predazzo,Corso Dolomiti 13,+39 (0462)502322,Predazzo-I.T.C.,Stazione TN-Malè - RFI,Latemar-Obereggen/Pampeago/Predazzo
236,236,RISTORANTE PIZZERIA ROMA,46.289412,11.5097609,Tesero,"Via Roma, 54",+39 (0462)813220,Tesero,Mach,Alpe Cermis-Cavalese
237,237,RISTORANTE AL LAGO,46.2665331,11.406282,Castello-Molina di Fiemme,Stramentizzo Nuovo,+39 (0462)341235,Stramentizzo Bivio,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
238,238,RISTORANTE ANCORA,46.3111078301165,11.6027855873108,Predazzo,"Via IX Novembre, 1",(0039) 0462 501651,Predazzo Autostaz.,Mach,Latemar-Obereggen/Pampeago/Predazzo
239,239,PIZZERIA PRONTO PIZZA,46.31311,11.60245,Predazzo,"Via Dante, 1",+39 (0462)502227,Predazzo-I.T.C.,Stazione TN-Malè - RFI,Latemar-Obereggen/Pampeago/Predazzo
240,240,HORSES RISTO PUB,46.3000422974147,11.5981721878052,Predazzo,Via Lagorai 117,+39 (0462)500116,Predazzo Via Fiamme Gialle,Mach,Latemar-Obereggen/Pampeago/Predazzo
241,241,PIZZERIA DOLOMITI,46.2627478,11.337486,Capriana,Via Dallio G.B.,+39 (0462)816081,Capriana,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
242,242,RISTORANTE COSTA SALICI,46.2934004214863,11.4566373825073,Cavalese,"Via Costa Salici, 10",+39 (0462)340140,Cavalese Via Esterle,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
243,243,LA PELLE DELL'ORSO,46.2901384910427,11.4340853691101,Ville di Fiemme,Via del Nonéndol - loc. veronza,+39 (0462)240654,V.Veronza H.Veronza,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
244,244,RISTORANTE PIZZERIA RELAX,46.3112041712146,11.6078925132751,Predazzo,Via Venezia 28,+39 (0462)502344,Predazzo Autostaz.,Mach,Latemar-Obereggen/Pampeago/Predazzo
245,245,PIZZERIA LA BRICIOLA,46.3044598847961,11.5947604179382,Predazzo,Via Fiamme Gialle 54,+39 (0462)500050,Predazzo Via Fiamme Gialle,Mach,Latemar-Obereggen/Pampeago/Predazzo
246,246,PIZZERIA DES ALPES,46.290197800603,11.478009223938,,via Marco 135 - 380330 CAVALESE,+39 (0462)231117,Marco di Cavalese,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
247,247,PIZZERIA L'INCONTRO,46.3142425342196,11.6011548042297,Predazzo,Via Verdi 13/a,+39 (0462)502716,Predazzo-I.T.C.,Stazione TN-Malè - RFI,Latemar-Obereggen/Pampeago/Predazzo
248,248,PIZZERIA BARCOLLO,46.3128123014276,11.6650986671448,Predazzo,c/o Centro Servizi,+39 (338)6704809,Bellamonte,Mach,Alpe Lusia-Moena/Bellamonte
249,249,RISTORANTE AGRITUR MASO SORTE,46.2778896908959,11.444878578186,Castello-Molina di Fiemme,Via Maso Sorte,+39 (0462)340522,Castello di Fiemme,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
250,250,RISTORANTE AGRITUR PIANRESTEL,46.2883888301223,11.478009223938,Cavalese,Via del Gastaldo,+39 (0462)340960,Marco di Cavalese,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
251,251,RISTORANTE LE CAORE,46.3196667043666,11.5028142929077,Tesero,"loc. Stava, 31",+39 (0462)814679,Stava,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
252,252,RISTORANTE PIZZERIA DEJAVU',46.305422,11.462465,Varena,Via A. Cantelger 2,+39 (347)7686059,Varena-Via Alpini-Dir.Lavazè,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
253,253,RISTORANTE PIZZERIA LA BAITA,46.3145982339805,11.4715719223022,Varena,"Via Bancoline, 1",+39 (0462)230283,Varena-Via Alpini-Dir.Lavazè,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
254,254,RISTORANTE AGRITUR SALANZADA,46.2722833943649,11.4645767211914,Cavalese,Loc. Salanzada 1,+39 (0462)235480,Cavalese Autostaz.,Mach,Alpe Cermis-Cavalese
255,255,PIZZERIA RISTORANTE EL CALDERON,46.2855566334027,11.4656496047974,Cavalese,"Via Cermis, 4",+39 (0462)340111,Cavalese Autostaz.,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
256,256,RISTORANTE PIZZERIA LA CANTINETTA,46.302856,11.45444,Varena,"Via Val del Ru, 11",+39 (0462)342695,Varena-Pizz. La Cantinetta,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
257,257,PIZZERIA LA LANTERNA,46.300078,11.44749,Ville di Fiemme,"Via Ancona,2",+39 (0462)340607,Daiano,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
258,258,RISTORANTE PIZZERIA ANCORA,46.2895427,11.5105439,Tesero,Via IV Novembre 32,+39 (0462)813117,Tesero,Mach,Alpe Cermis-Cavalese
259,259,LA SALERA,46.2915470757489,11.4627313613892,Cavalese,"Via Pizzegoda, 3",+39 (0462)341001,Cavalese Piazza G.Verdi,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
260,260,RISTORANTE MIOLA,46.2978778459822,11.6067123413086,Predazzo,Loc. Miola 1,+39 (0462)501924,Predazzo-Borgo Nuovo,Mach,Latemar-Obereggen/Pampeago/Predazzo
261,261,RISTORANTE PIZZERIA MAJESTIC,46.30619,11.5982299,Predazzo,Via Fiamme Gialle 20/A,+39 (0462)500076,Predazzo-Borgo Nuovo,Mach,Latemar-Obereggen/Pampeago/Predazzo
262,262,PIZZERIA EXCELSIOR,46.2918769758785,11.4590406417847,Cavalese,Piazza Cesare Battisti 11,+39 (0462)248421,Cavalese P. Francescani,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
263,263,RISTORANTE AGRITUR FIOR DI BOSCO,46.2286295989053,11.3632965087891,Valfloriana,Loc. Comuni,+39 (0462)910002,Sicina,Mach,Alpe Cermis-Cavalese
264,264,AL CANTUCCIO,46.29159,11.46059,Cavalese,"Via Unterberger, 14",+39 (0462)235040,Cavalese Piazza G.Verdi,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
265,265,RISTORANTE PIZZERIA LA TRATTORIA,46.2825759959976,11.5234351158142,Tesero,Lago di Tesero,+39 (0462)810203,Lago-Mobilif. De Pal,Mach,Alpe Cermis-Cavalese
266,266,RISTORANTE PIZZERIA GI & GIò,46.292948210911,11.4563369750977,Cavalese,"P.zza 12 Partigiani, 7",+39 (0462)342688,Cavalese Via Esterle,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
267,267,PIZZA TIME,46.3098924355446,11.6021418571472,Predazzo,Via Trento 15,+39 (0462)501555,Predazzo Autostaz.,Mach,Latemar-Obereggen/Pampeago/Predazzo
268,268,"RISTORANTE ""EL MOLIN""",46.2919696440967,11.4602476358414,Cavalese,Piazza Cesare Battisti 11,,Cavalese P. Francescani,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
269,269,RISTORANTE PINETA,46.2700288488885,11.4207172393799,Castello-Molina di Fiemme,"Via Cadino, 2",+39 (0462)341332,Molina di Fiemme Via Segherie,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
270,270,RISTORANTE VILLAGGIO,46.2476853,11.3463739,Valfloriana,Fraz. Villaggio 2/a,+39 (0462)910098,Villaggio Italo-Svizzero,Mach,Alpe Cermis-Cavalese
271,271,PIZZERIA RISTORANTE L'ARCADE,46.3109522018304,11.6034078598022,Predazzo,"Via IX Novembre, 1 ",+39 (340)0021359,Predazzo Autostaz.,Mach,Latemar-Obereggen/Pampeago/Predazzo
272,272,TRATTORIA LA BERLOCCA,46.3113968529022,11.606605052948,Predazzo,Via Venezia 10/a,+39 (0462)502880,Predazzo Autostaz.,Mach,Latemar-Obereggen/Pampeago/Predazzo
273,273,RISTORANTE AGRITUR MASO CORRADINI,46.2796841778629,11.4326691627502,Castello-Molina di Fiemme,Via Milano 28,+39 (0462)231010,Castello di Fiemme-Conc.Fiat,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
274,274,RISTORANTE PIZZERIA ANGELO D'ORO,46.2904869337896,11.4606070518494,Cavalese,"Vicolo rasmo, 3",+39 (0462)235760,Cavalese Piazza G.Verdi,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
275,275,BAR RISTORANTE LÖZE,46.299908874801,11.5994381904602,Predazzo,Via Lagorai 115,+39 (0462)502235,Predazzo Via Fiamme Gialle,Mach,Latemar-Obereggen/Pampeago/Predazzo
276,276,RISTORANTE LA STUA,46.292629437278,11.4588904380798,Cavalese,Piazza Dante,+39 (0462)340235,Cavalese P. Francescani,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
277,277,RISTORANTE AL MOLIN,46.285825,11.565681,Ziano di Fiemme,Via G.Verdi 20/a,+39 (0462)571442,Ziano di Fiemme-Alla Roda,Mach,Alpe Cermis-Cavalese
278,278,RISTORANTE AGRITUR MASO LENA,46.2976109898811,11.6019487380981,Predazzo,Località Löze,+39 (340)5923104,Predazzo Via Fiamme Gialle,Mach,Latemar-Obereggen/Pampeago/Predazzo
279,279,PIZZERIA HOTEL CANADA,46.3112856904729,11.6761708259583,Predazzo,Via della Torba 1,,Bellamonte-H.Torretta,Mach,Alpe Lusia-Moena/Bellamonte
280,280,OSTERIA DE L'ACQUAROL,46.2854528328355,11.5387344360352,Panchià,Via nazionale 42,+39 (0462)813082,Panchia',Mach,Alpe Cermis-Cavalese
281,281,PIZZERIA LA PIEVE,46.2886779728581,11.4615726470947,Cavalese,"Via Marconi, 13",+39 (0462)232060,Cavalese Via Mendini,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
282,282,PIZZERIA RISTORANTE VERONZA,46.2901533184388,11.4304804801941,Ville di Fiemme,Viale Veronza 3,+39 (0462)341734,Villaggio Veronza Via Pale,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
283,283,RISTORANTE AL CONVENTO,46.29189,11.4587299,Cavalese,"P.zza Rizzoli, 4",+39 (0462)342250,Cavalese P. Francescani,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
284,284,RISTORANTE PIZZERIA SOTTOVOCE,46.2872322439159,11.4211249351501,Castello-Molina di Fiemme,Via Nucleo Stazione 9,+39 (0462)235597,Castello di F. Nucleo Stazione,Stazione TN-Malè - RFI,Alpe Cermis-Cavalese
